Year RollCall
2017 690
2018 442
2017 686
2017 208
2017 693
2018 284
2017 700
2017 206
2018 288
2018 149
2018 321
2018 448
2017 409
2018 459
2017 391
2018 238
2018 294
2017 598
2018 101
2017 606
2017 175
2018 441
2018 099
2017 649
2018 385
2017 282
2017 181
2018 129
2016 298
2015 258
2016 592
2016 070
2015 687
2015 121
2015 673
2015 672
2015 010
2016 466
2016 301
2015 088
2015 262
2015 082
2015 649
2016 614
2016 133
2015 125
2016 622
2016 335
2015 173
2016 238
2015 170
2016 134
2015 267
2016 572
2016 354
2015 423
2015 335
2016 042
2015 447
2016 139
2016 282
2016 101
2016 606
2015 219
2016 123
2016 067
2016 503
2015 695
2015 458
2015 428
2015 384
2016 084
2016 153
2016 547
2016 109
2016 237
2016 181
2018 351
2018 246
2017 479
2017 492
2018 245
2017 490
2017 482
2018 203
2017 488
2018 346
2017 386
2017 472
2018 344
2017 473
2017 388
2017 122
2017 475
2018 347
2015 202
2016 254
2015 290
2016 446
2015 256
2016 411
2016 456
2016 453
2016 121
2016 425
2015 620
2016 455
2015 123
2015 431
2015 432
2015 199
2015 669
2016 429
2015 453
2015 456
2016 279
2016 199
2015 295
2016 463
2016 427
2016 457
2015 396
2015 401
